customer_id,region,energy_consumption_kwh,peak_hours_usage,off_peak_usage,renewable_energy_pct,billing_amount,household_size,temperature_avg,income_bracket,smart_meter_installed,time_of_day_pricing,annual_energy_trend,solar_panel,target_high_usage
1,North Carolina,711.73,449.77,110.04,60.94,198.47,5,11.14,High,False,True,8.42,True,False
2,Georgia,815.47,622.72,89.49,3.89,417.53,7,3.7,High,True,False,3.28,True,False
3,Georgia,1310.91,493.87,442.72,61.23,497.47,3,-0.78,Low,True,False,7.99,False,True
4,Minnesota,642.01,158.31,677.98,8.97,428.34,3,4.46,High,True,True,8.25,True,False
5,Pennsylvania,1330.54,229.91,376.77,71.03,205.76,3,0.63,Medium,True,True,-1.21,True,True
6,Florida,314.57,253.53,83.48,39.01,370.06,2,11.62,Medium,True,True,8.2,False,False
7,Alaska,1209.84,280.5,193.79,83.77,290.27,3,1.67,Medium,True,False,5.23,False,True
8,Connecticut,1301.81,495.78,209.12,94.25,403.93,2,15.87,Low,False,False,7.91,False,True
9,Alaska,436.36,452.78,269.61,41.71,118.89,6,4.32,Low,True,False,-1.03,True,False
10,Mississippi,759.45,242.21,78.34,46.06,337.16,4,11.23,Low,True,True,0.68,False,False
11,Utah,415.15,147.29,638.18,59.01,398.15,5,-3.54,Medium,True,False,4.04,False,False
12,Hawaii,1118.59,220.0,385.12,19.71,392.55,1,-1.8,High,False,False,6.31,False,True
13,Illinois,895.95,789.07,486.11,92.73,483.62,7,20.71,Medium,True,False,9.74,True,False
14,Maryland,1025.92,427.98,93.66,43.3,76.29,7,18.27,Medium,True,False,-3.97,True,True
15,Kansas,455.43,707.14,85.18,16.68,205.6,5,-1.44,Low,True,True,3.13,False,False
16,Vermont,475.27,694.13,431.2,76.27,264.45,5,4.74,High,False,True,3.22,True,False
17,Hawaii,253.95,458.06,626.74,21.92,189.39,6,1.07,Medium,False,False,8.59,False,False
18,Delaware,618.69,594.68,393.51,14.35,189.41,7,29.87,Medium,True,False,-1.46,True,False
19,California,927.67,234.93,620.58,56.29,129.26,5,8.24,High,True,True,-2.61,False,False
20,Wisconsin,1315.32,581.88,577.14,67.15,415.83,1,10.3,Low,True,False,2.24,True,True
21,Maryland,1067.01,290.67,99.3,56.96,458.63,2,23.24,Medium,True,False,5.89,True,True
22,Texas,766.02,682.44,181.27,65.65,87.05,4,6.28,Low,True,False,9.58,False,False
23,Iowa,1439.06,158.61,477.51,11.55,119.7,6,8.89,High,True,False,3.58,True,True
24,Virginia,1135.02,641.2,338.28,47.6,152.8,1,29.9,Low,True,False,5.88,True,True
25,Kentucky,1409.21,169.96,238.95,35.7,279.04,7,29.73,Low,True,True,-0.82,True,True
26,Tennessee,885.86,716.83,322.11,97.34,406.03,4,20.23,Medium,False,False,5.15,True,False
27,New York,536.58,312.94,339.38,4.96,82.15,2,17.95,Low,True,True,-1.36,False,False
28,Illinois,268.67,558.08,641.86,29.83,336.57,4,-0.95,Medium,True,True,2.43,True,False
29,Texas,1143.91,441.25,117.25,94.19,117.2,2,13.66,Medium,True,False,-4.3,False,True
30,Indiana,357.69,356.41,231.82,98.35,487.16,7,3.72,Low,True,False,-0.15,False,False
31,Michigan,593.61,551.81,399.42,82.49,454.45,1,26.49,High,True,True,6.73,False,False
32,Florida,892.21,763.27,503.89,7.6,477.31,1,21.4,Medium,True,True,-3.98,True,False
33,Nevada,933.74,128.89,459.91,56.14,97.77,7,8.88,Low,True,False,-0.22,True,False
34,Michigan,980.76,743.2,662.07,40.01,269.62,7,16.75,Medium,True,True,-2.44,True,False
35,Illinois,416.13,526.36,567.15,80.65,124.36,4,11.05,Medium,True,True,4.41,True,False
36,North Dakota,693.66,665.12,412.1,5.5,320.16,6,-2.68,Low,False,False,6.16,True,False
37,Louisiana,1002.35,368.71,189.54,19.71,154.73,4,29.04,Medium,True,False,-3.35,False,True
38,Montana,1460.76,430.29,343.07,48.92,396.78,5,34.91,Low,True,True,2.84,False,True
